Komoditas(Rp),Beras
14/04/2022,12300
18/04/2022,12350
19/04/2022,12350
20/04/2022,12350
21/04/2022,12350
22/04/2022,12350
25/04/2022,12350
26/04/2022,12350
27/04/2022,12350
28/04/2022,12350
9/5/2022,12350
10/5/2022,12400
11/5/2022,12400
12/5/2022,12400
13/05/2022,12400
17/05/2022,12400
18/05/2022,12400
19/05/2022,12400
20/05/2022,12400
23/05/2022,12400
24/05/2022,12400
25/05/2022,12550
27/05/2022,12400
30/05/2022,12400
31/05/2022,12400
2/6/2022,12400
3/6/2022,12400
6/6/2022,12400
7/6/2022,12400
8/6/2022,12400
9/6/2022,12400
10/6/2022,12400
13/06/2022,12400
14/06/2022,12400
15/06/2022,12400
16/06/2022,12400
17/06/2022,12400
20/06/2022,12400
21/06/2022,12400
22/06/2022,12400
23/06/2022,12400
24/06/2022,12400
27/06/2022,12400
28/06/2022,12400
29/06/2022,12400
30/06/2022,12400
1/7/2022,12400
4/7/2022,12400
5/7/2022,12400
6/7/2022,12400
7/7/2022,12400
8/7/2022,12400
11/7/2022,12400
12/7/2022,12400
13/07/2022,12400
14/07/2022,12400
15/07/2022,12400
18/07/2022,12400
19/07/2022,12400
20/07/2022,12400
21/07/2022,12400
22/07/2022,12400
25/07/2022,12400
26/07/2022,12400
27/07/2022,12400
28/07/2022,12400
29/07/2022,12400
1/8/2022,12400
2/8/2022,12400
3/8/2022,12400
4/8/2022,12400
5/8/2022,12400
8/8/2022,12400
9/8/2022,12400
10/8/2022,12400
11/8/2022,12400
12/8/2022,12450
15/08/2022,12450
16/08/2022,12500
18/08/2022,12500
19/08/2022,12500
22/08/2022,12450
23/08/2022,12450
24/08/2022,12450
25/08/2022,12500
26/08/2022,12500
29/08/2022,12550
30/08/2022,12550
31/08/2022,12550
1/9/2022,12550
2/9/2022,12550
5/9/2022,12550
6/9/2022,12550
7/9/2022,12550
8/9/2022,12550
9/9/2022,12550
12/9/2022,12550
13/09/2022,12550
14/09/2022,12600
15/09/2022,12600
16/09/2022,12600
19/09/2022,12600
20/09/2022,12600
21/09/2022,12600
22/09/2022,12600
23/09/2022,12600
26/09/2022,12550
27/09/2022,12550
28/09/2022,12550
29/09/2022,12550
30/09/2022,12550
